text,response,intent,tweet_id
@Delta experience. It took 10 hrs for a suprvsr to finally show up. Its now been 11 hrs! Throughout the day the flt kept being pushed back..,@178663 Oh no! So sorry for that. Could you provide your confirmation number via DM so I can assist?  *TDL https://t.co/6iDGBJAc2m,generic,262980
@Delta just sent a DM!,"@136424 Hi, Kaleigh. I have your DM and I will review the  details.  *AJL",generic,94137
@delta the flight crew today on flight #953 lax - jfk was fabulous. Professional and courteous. Best crew experience I’ve had in a long time,@252785 Thank you for the wonderful words about our LAX crew!  *ACJ,generic,566386
@Delta Just DM'D you.,"@313558 Great, thanks. I'm looking at it now, bear with me just a moment, please. *TSE",generic,812271
@Delta Just came back from a trip-- question is for future reference thx,"@188223 Typically, on Delta flights, X, V and E class bookings are ineligible for mileage upgrade. *ASK",generic,302671
Landed at #SLC @134899 @Delta #DL2377 🛬,@188231 @134899 ...expected. 😉For more details on the B739 take a look at the link here: https://t.co/YP5SbpvnRm *HSL 2/2,generic,872590
@Delta Thank you. Happy to discuss the matter further.,"@267890 Thank you, PJ for extended the opportunity to reach out to you. *ALY",generic,623055
"@Delta I won’t be home until 10/19, so I am supposed to pay fees to call to file a claim for a piece of luggage that I took tags off of yesterday?",@309046 ...into the baggage line. What country are you in? Maybe i have a local number.  *TJM 2/2,baggage,792795
.@Delta please add a direct flight from DCA to AGS at least during Masters week! #Masters2018 https://t.co/Ik3xI8EmTo,"@218388 Hi, Sabrina. I think that is an excellent idea! Have a great day. 🚀 *TJF",generic,435244
@Delta Ok - I bought one that shows up in activity but hasn't been applied to my balance. What's the best way to have someone look into that?,@286931 Can you please DM your SkyMiles number so I can review your account.                                                                                                                                                                        *TDH,generic,699729
"@Delta I dm’d you on Friday. Would you like me to call you out with screenshots in public, or do you prefer to double-check your system?","@203065 I apologize for the trouble, Joseph. I don't show DM's from you. Please DM if further assistance is needed  *HMB https://t.co/6iDGBJAc2m",generic,367559
@delta. Do you think it will actually leave at 9:55?  The people at the gate are not sure,@117818 I think they both will.  *TBT,generic,9870
@Delta Unfortunately I cannot call US numbers please communicate by the email provided with the claim,"@207186 Sure, I would send them an email on the status on your behalf. When I receive a response I will be sure to let you know.  *HPL",generic,385131
I have a question @Delta,"@157240 Hello, there. How can we help? *AOS",generic,175565
@delta we left our Columbia gray coat with a fur hood at gate A2 or at McDonalds. Please help!!!,"@149123 Hello, Lisa!  I am sorry about your lost coat. Please go to https://t.co/fWnlwsJFnV article and complete the form. We have a special department that connects the article to the passenger. Good luck! *TCC",generic,146043
@Delta That's bullshit. This is all because one flight attendant would not show up. I want a full refund,@215726 ...caused. *TBW 2/2,cancellation_refund,423032
@213622 @Delta A friend just mentioned something similar on FB. Yeesh.,@213621 My apologies. The message was sent to you as you were included in the original message to us.  *HCA,generic,413188
"@Delta please make up your mind. STICK TO A TIME OR YOURE GONNA MAKE PEOPLE LATE, here I am PANICKING on the train","@269294 Hi, Pearl, I'm so sorry for the confusion, when we have a delay it is an Estimated Time of Departure and can change either moving the time earlier or later.  *TRR",delay_disruption,630109
"Time. Something we can never get back. 19 hours later, finally boarding flight home. Thanks @Delta for unnecessarily and unapologetically robbing me of time with family. #DeltaAirlines","@273736 Hi, thank you much for reaching out to us via this channel. I'd like to take a look at your reservation. Please DM for further assistance.  *AST https://t.co/6iDGBJAc2m",delay_disruption,647228
".@delta *HUGE* shoutout to Vanessa, agent boarding DL2972 today pretty much by herself, keeping everyone in line, please make sure she gets recognized #ATL #keepclimbing #Delta #customerservice","@152086 Wow, thanks for the compliment for our team member, Vanessa. Thanks for letting us know and always glad to have you onboard! *TJP",generic,157111
@DELTA why does your Delta app tell me my flight is on time when the French are striking again?,"@215215 Hi, Korey. For assistance, please follow/DM your confirmation number. *AMV https://t.co/6iDGBJAc2m",generic,420486
@delta your customer service rep just hung up on me after I asked to redeem a voucher.  This was after an hour on hold.  What gives?,@204566 Oh no. Please follow/DM your voucher number and the details of your trip to this link. *ACJ https://t.co/6iDGBJAc2m,cancellation_refund,373713
Incredibly angry with @Delta. Picked my seat months ago and before I board they move my seat next to someone who has B.O.,"@314006 Yikes, I truly wish I could move you to a seat to your satisfaction. Have you reached out to any of our flight attendants.  *AST",flight_change,814648
Just in time to leave #Arrivederci @Delta @17255 @319902 8 days #WhenInRome https://t.co/y9hzBIEpa7,"@170944 Hope you have a wonderful flight, Michelle. 😊 *AMV",generic,840177
@Delta really admire your PWM gate 7 &amp; 8 team.  Super helpful and empathetic to delayed passengers...please say thanks.   DL1132 passenger,"@341090 Hey, Peter! Glad to hear the PWM team was helpful this evening! I will share your comments with their leadership team.  *HDG",delay_disruption,932047
@Delta I'm a first time flyer and have my flight confirmed. My flight is Basic Economy. Am I not allowed to bring a carry on the plane? That is all I have is just one carry on like back pack. I can message my confirmation number if needed. Thanks!,"@250534 Hi, thanks for choosing Delta. Your carry-on baggage is free of charge and can be up to 45 linear (L+W+H) inches; no weight limit. You also receive a personal item for free; your personal item must be able to fit underneath the seat in front of you. *TMB",booking,558650
"2+ hour (unexplained) delay, ridiculously hot plane, no entertainment system. Off to a good start. Yayyy @Delta 🙄","@345079 Hello, Josh. Very sorry for your experience. We must do better. if you need any help, let us know. *ARD",delay_disruption,949069
@Delta how can I make a flight reservation changeable as well as refundable before making a booking?,@177872 Before you search flights you can select Advanced Search and there's a box you can check for Refundable Flights Only. *TJE,booking,895307
".@Delta Rep tried to charge me  change fee to cancel flight due to #HurricaneMaria, refuses to refund my $, only issue a credit with less than 1 yr to use. #notgoodenough @JetBlue refunded me right away, no problem or excuses! #deltasucks @82275 #poorcustomerservice #greedy","@272958 Hi, Chi Wai. Please DM us your confirmation number so we can look into this.  *ALA https://t.co/6iDGBJAc2m",cancellation_refund,644401
Hello @Delta can I put cans of beer in my checked luggage?,"@324122 Yes, though they'll need to be packaged so that they don't burst and spill out.  *HWG",baggage,859730
@Delta leaving on time to PHX #5838....❤ thank you!,"@269831 Hi, Loretta, it was our pleasure, thank you for flying with us and have a great Thanksgiving!  *TRR",generic,632125
@Delta Why is it literally every time I fly from Atlanta there are mechanical issues with your planes? Makes me want to avoid ATL. DL1390,"@250539 Delays are never a part of our plan, and we regret the frustration we've caused you.  *AFC",generic,558661
"@Delta How come I can only use my Companion Cert. on select (and very inconvenient) flights, when I know other flights are wiiiide open?","@197996 Companion certificates require certain fare classes. They may be sold out for various dates &amp; places, but not for others. *HWG",generic,344682
@delta need some help. Just back from Moscow. Bag delayed way there. Bought DL tickets. Have bag claim # from SVO! # doesn’t work on DL site,@353074 Hi Jeremy please DM me your ticket number so I can further assist you? *TMC https://t.co/6iDGBJAc2m,baggage,983104
"I'm at @Delta Sky Club in Atlanta, GA https://t.co/bMhsxZbaHA","@287286 Hi, Jay. Thanks for tweeting us today! Enjoy your visit at the Delta Sky Club in Atlanta. ✈ *AJL",generic,700860
@Delta hello Delta we are w u again 👍 https://t.co/uZWVhyfU55,"@186486 Hi, there. Thanks for joining us in the Delta Sky Club! Happy Travels.  *AJZ",generic,536140
@Delta Thank you. We appreciate it.,"@277078 You're welcome! Please, allow 3 business days for the bonus miles to post to both SkyMiles accounts.  *HYC",generic,659625
@Delta Thanks for confirming. Even worse is when I asked the crew for assistance not only were they unhelpful but I actually watched and heard them making fun of me for asking! What can @delta do for us?,"@345137 Again, I am really sorry for any inconvenience this has caused. We appreciate you taking the time to share your feedback. *HSD",generic,949299
@Delta there's a link going around about two free tickets for Delta's 93rd anniversary,"@216039 Hi Jonathan. Please ignore it, it's a scam. We apologize for the any convenience. *HTP",booking,424526
"@Delta I️ left my iPhone in the back pocket of row 17 flight DL1835 from Augusta to ATL this morning. The plane left to Jackson, MS before I️ realized I️ left it.","@134904 Hello, Seth. Pls fill out our lost item form here:  https://t.co/PFXvMptCcO. The finally destination was ATL, correct?  *ARD",generic,86518
@Delta please see my previous tweets,"@184902 Hi, Richard. I'm sorry, there are no prior tweets. How can we assist today?  *HJB",generic,289142
@Delta My flight was changed last night to this morning. My new confirmation is DL2703. And I still haven’t received a response to my message,"@220307 I am very sorry for the delayed response. To discuss all possible upgrades, please reach out to our reservations desk at 800 221 1212 for further assistance.  *HSD",booking,444592
@Delta First direct flight cancelled and now my new flight has a connection and 3 hour delay. You are making me question my loyalty Delta,@211545 I sincerely apologize for the inconvenience with the delayed flight. Thank you for bearing with us. 👍 *CKP,cancellation_refund,403664
@Delta do you think you could have working seat back video screens for a 4 hour flight?  27F on flight 2454?,@320753 My apologies for the video screen not working. Please bring this to the attention of the flight attendant. *TCC,flight_change,844413
@Delta I flew with them a couple weeks ago. I didn’t receive credit,@158709 Did you attach your SkyMiles account to your reservation?  *AST,cancellation_refund,181764
Good to hear Lauren. Doing that route this week - SOooo much better direct. @Delta https://t.co/FhCNBT4E1J,@178659 Happy Travels! *HJH,generic,262972
@Delta The crew tried to find it but it seems to have slipped into the seat,@255930 I just submitted a message to our AMS Airport Team regarding your lost item. I hope you can find it. *AMV,flight_change,577478
@Delta HKQ7JG,@179965 I am glad they were able to assist you with that.  *HRO,generic,268248
